a,b,c,root
4,16,-48,2
-69,29,96,1.408
-53,70,38,1.734
16,-58,-15,3.867
-72,58,89,1.585
45,-80,-24,2.039
43,-26,-95,1.819
55,-89,31,1.111
81,-43,-72,1.245
15,-77,-66,5.881
10,-70,-19,7.262
80,-88,-23,1.318
-98,93,88,1.534
84,-74,-37,1.237
13,18,-79,1.868
6,-40,-86,8.378
82,-93,8,1.04
-3,-45,76,1.532
-89,82,74,1.482
1,-30,-4,30.133
-76,75,100,1.742
82,-72,-81,1.526
15,-12,-58,2.407
-22,18,4,1
-10,95,24,9.746
35,-78,-6,2.303
-22,77,3,3.539
-24,64,91,3.693
15,-99,1,6.59
48,13,-63,1.018
25,28,-58,1.063
-38,94,53,2.947
-12,-20,54,1.446
-35,5,92,1.694
68,-100,-47,1.845
53,-91,-61,2.233
-78,58,24,1.04
61,-84,21,1.049
92,-42,-70,1.13
49,-46,-94,1.932
18,-41,-88,3.626
-22,73,24,3.62
12,21,-91,2.014
-16,8,45,1.946
43,-41,-21,1.323
89,-24,-70,1.032
11,40,31,-1.12
2,-17,-53,10.926
-50,86,45,2.14
63,-75,-89,1.925
-92,54,71,1.22
-41,76,71,2.536
14,-31,-68,3.573
2,-54,58,25.879
-11,88,-55,7.317
-27,26,84,2.31
54,-94,-87,2.409
-15,58,19,4.17
34,5,-69,1.353
4,54,-93,1.545
-31,85,47,3.214
64,-25,-46,1.065
85,-61,-79,1.387
-37,75,16,2.222
8,-45,35,4.693
-20,48,60,3.307
-22,94,63,4.862
-56,1,57,1.018
95,-45,-84,1.207
65,-78,-5,1.261
77,-49,-73,1.343
-74,26,59,1.086
50,-53,-69,1.819
-16,29,69,3.172
-21,87,-29,3.777
-46,-33,84,1.039
-12,5,9,1.099
-18,87,84,5.658
18,-61,-5,3.469
4,-15,2,3.612
12,-83,-81,7.784
81,-61,-35,1.134
25,11,-98,1.772
2,-57,64,27.329
23,-57,-64,3.317
-19,100,80,5.969
-24,-17,98,1.697
-83,-9,99,1.039
68,-39,-39,1.097
-11,92,64,9.009
38,-91,-53,2.879
2,19,38,-2.863
62,-67,-56,1.634
-68,67,94,1.767
-18,71,-69,2.21
90,-81,-96,1.577
79,-73,-30,1.232
89,-71,-36,1.15
-33,75,-1,2.259
3,-30,38,8.512
-19,45,-24,1.557
-17,71,-42,3.463
3,79,-88,1.07
17,-74,73,2.842
-73,95,97,1.974
-21,58,83,3.802
7,-50,-39,7.852
62,-27,-66,1.272
-30,96,12,3.32
96,-22,-96,1.121
8,-91,38,10.941
-45,71,58,2.171
27,-69,-14,2.744
87,-62,-94,1.455
-56,44,65,1.54
-4,58,-29,13.981
12,15,-91,2.199
40,-99,-1,2.485
10,-41,-48,5.05
-54,40,97,1.761
23,-44,-45,2.651
-17,71,73,5.03
-59,32,77,1.445
-28,23,37,1.631
-47,66,33,1.795
20,-92,88,3.243
-30,3,53,1.38
-3,-78,-95,-1.281
-17,-22,56,1.28
4,20,-73,2.45
-37,-4,51,1.121
72,-43,-47,1.16
74,-46,-59,1.256
10,-50,-64,6.057
55,-24,-70,1.367
-23,95,-29,3.798
-29,94,42,3.639
7,32,-77,1.742
21,21,-76,1.467
36,-85,14,2.183
-65,84,33,1.608
-22,-29,62,1.144
55,18,-89,1.119
-17,10,12,1.184
17,45,-96,1.397
-43,44,58,1.781
-1,55,-31,54.43
7,-95,-98,14.535
-20,-16,88,1.735
69,-41,-30,1.02
-53,93,-21,1.489
-66,100,58,1.963
-65,42,80,1.479
80,-27,-60,1.051
-44,-46,93,1.022
-20,100,40,5.372
-39,79,-21,1.711
73,-22,-51,1
30,-2,-62,1.471
-15,48,-20,2.708
-4,58,-4,14.431
36,-90,56,1.333
3,-20,-68,9.145
-8,29,52,4.941
34,-83,39,1.806
-32,62,50,2.55
2,-94,-24,47.254
48,-98,22,1.785
64,-55,-37,1.303
90,-25,-72,1.044
-86,81,76,1.522
25,-93,83,2.234
-93,50,63,1.135
-1,39,-54,37.562
-65,61,47,1.44
72,-48,-55,1.269
11,-48,-56,5.32
-15,26,69,3.18
74,-80,-17,1.263
21,17,-43,1.082
-60,-7,97,1.214
-75,50,99,1.53
41,-61,-57,2.138
-49,-10,65,1.054
60,-89,-27,1.742
-83,71,24,1.115
-47,53,76,1.955
78,-79,-2,1.038
-1,38,18,38.468
10,-5,-56,2.63
-97,76,100,1.48
-30,91,-21,2.782
3,-60,47,19.183
-38,81,48,2.615
-93,85,33,1.208
-76,73,32,1.288
4,-57,-53,15.126
69,-96,11,1.265
12,-19,-38,2.739
-36,91,-46,1.829
-13,5,66,2.454
-94,79,77,1.418
21,-53,-32,3.027
-14,10,59,2.441
5,-35,-53,8.28
37,9,-62,1.179
46,-88,-41,2.3
77,-68,-42,1.302
-62,95,64,2.039
8,-28,-5,3.67
-5,92,53,18.959
-59,94,12,1.712
-18,69,13,4.013
-47,22,39,1.175
-7,64,32,9.618
91,-46,-88,1.268
12,-38,2,3.113
-36,50,66,2.216
34,-54,16,1.194
-9,6,24,2
77,-89,-36,1.473
-21,49,85,3.492
19,12,-88,1.859
11,-22,-9,2.348
-53,-5,92,1.271
-66,86,33,1.613
-14,96,-1,6.847
47,-81,-34,2.072
-82,67,72,1.431
-32,-2,75,1.5
-22,-43,93,1.299
15,52,-78,1.131
52,-45,-12,1.079
-70,29,57,1.133
38,-89,-98,3.159
-36,-20,58,1.022
-79,19,92,1.206
10,-41,-29,4.715
21,-84,45,3.363
-22,38,95,3.114
48,18,-85,1.156
7,-64,-60,10
9,-40,-14,4.771
-2,-24,82,2.775
-82,21,69,1.054
69,14,-95,1.076
17,-26,-24,2.178
10,78,69,-1.017
13,89,85,-1.147
-21,85,-23,3.756
54,-72,4,1.275
48,-99,51,1.063
47,-87,-22,2.076
-51,13,49,1.116
29,32,-97,1.359
8,-72,-24,9.322
38,-66,-22,2.023
95,-84,-12,1.009
25,-94,-2,3.781
78,-63,-80,1.494
-42,74,-6,1.677
72,-57,-80,1.522
45,-36,-28,1.284
-64,4,84,1.177
75,16,-98,1.041
-45,98,-31,1.794
-6,-66,-64,-1.075
32,-73,-11,2.423
7,-13,-13,2.578
-10,94,37,9.778
-45,67,-12,1.281
-61,64,84,1.81
47,-99,-91,2.798
31,-45,-40,2.074
29,-17,-75,1.928
60,-74,-9,1.345
-46,61,46,1.863
-11,78,-17,6.866
-33,3,95,1.743
4,34,63,-2.729
-98,44,66,1.075
-15,86,-50,5.077
6,-98,-3,16.364
89,-76,-96,1.55
-21,87,-85,2.565
23,25,-70,1.284
-67,24,76,1.259
20,63,-93,1.095
-11,74,72,7.59
-70,31,57,1.151
-25,40,83,2.79
3,-11,-96,7.78
5,-29,-27,6.616
-90,34,69,1.085
13,-43,-17,3.665
-15,6,76,2.46
-100,83,18,1.008
-6,73,-62,11.248
60,-62,-14,1.224
-19,95,-13,4.859
73,-16,-57,1
31,-45,-72,2.414
-38,78,-9,1.93
26,-74,-92,3.782
81,-12,-91,1.137
-1,51,-99,48.979
17,23,-67,1.421
-61,23,77,1.328
-40,63,41,2.07
-31,41,34,1.9
-12,-4,65,2.167
74,-88,-85,1.82
-7,-4,51,2.429
3,-84,96,26.806
1,-21,39,18.941
-85,58,44,1.137
-28,76,-27,2.294
37,-48,-89,2.33
73,-99,-47,1.729
-22,93,39,4.612
8,-74,25,8.899
-54,57,65,1.745
-12,-68,-65,-1.217
-12,44,96,5.204
-60,69,89,1.922
8,-66,-44,8.87
86,-16,-85,1.092
-15,60,-29,3.438
-37,-38,83,1.07
2,34,-59,1.587
-64,56,35,1.297
-35,23,52,1.591
24,-49,-69,3
92,-47,-85,1.25
23,20,-55,1.172
41,-57,-98,2.39
46,-68,-69,2.17
15,-67,-37,4.964
35,-53,-48,2.152
43,-79,21,1.515
-44,91,70,2.665
95,-76,-20,1.009
-22,19,79,2.375
-20,74,-4,3.645
46,-5,-80,1.374
10,-67,8,6.578
64,-75,-32,1.504
1,-33,34,31.935
18,-46,13,2.232
85,-57,-75,1.333
-68,94,65,1.889
31,-13,-19,1.02
37,-23,-69,1.711
-77,89,45,1.536
-2,76,99,39.261
89,-97,-38,1.396
-54,90,84,2.333
44,-99,-89,2.938
8,-45,-12,5.88
79,-71,-99,1.656
-12,94,-41,7.37
-31,52,92,2.755
-82,44,47,1.072
-71,47,64,1.336
7,-86,77,11.313
-46,-12,91,1.282
33,-80,-82,3.201
32,-51,-28,2.026
-3,18,-26,3.577
-25,95,2,3.821
53,-31,-95,1.663
-13,-8,58,1.827
-5,63,-37,11.982
2,-64,95,30.44
-34,77,-36,1.605
50,-48,-64,1.709
-22,4,70,1.877
-33,21,21,1.177
31,-98,14,3.011
-22,91,69,4.791
-24,51,5,2.219
64,-12,-55,1.026
-5,-5,69,3.248
-12,79,85,7.525
19,84,88,-1.706
-8,-19,85,2.282
85,-59,-61,1.263
-12,88,-4,7.288
26,-29,-37,1.875
3,-70,92,21.935
38,-71,-16,2.072
14,-13,-10,1.429
-1,56,-51,55.074
40,-63,-14,1.772
13,-60,-74,5.627
-19,60,3,3.207
-32,45,65,2.292
66,-49,-38,1.216
-29,28,74,2.152
3,-55,-14,18.584
-23,-17,100,1.748
-27,67,-36,1.695
4,-12,-62,5.713
46,-47,-10,1.203
31,-89,58,1.871
-41,44,9,1.249
10,-99,29,9.598
82,-21,-73,1.08
16,-33,-61,3.239
-90,22,80,1.073
70,-87,-100,1.969
-26,70,5,2.762
74,-78,-90,1.749
19,-86,-15,4.694
75,-79,-42,1.442
47,24,-82,1.09
96,-93,-78,1.508
25,-38,-88,2.784
-44,43,36,1.517
38,-91,48,1.61
68,-77,1,1.119
20,34,-91,1.446
-76,98,51,1.687
-46,-38,90,1.045
-1,-46,77,1.617
-14,12,45,2.272
37,16,-59,1.065
-29,85,84,3.711
31,-4,-84,1.712
-87,84,72,1.513
37,-92,25,2.176
4,90,96,-1.123
28,-85,-18,3.234
13,-2,-37,1.766
-25,93,-11,3.598
48,-67,-3,1.439
-2,-90,-91,-1.035
-23,70,16,3.257
56,-95,-38,2.031
-6,-74,-95,-1.456
-7,35,77,6.653
28,-39,-35,2.014
-53,21,90,1.516
42,-76,-24,2.084
-82,96,19,1.343
11,-94,87,7.489
31,-2,-39,1.154
-23,-57,91,1.104
-18,46,44,3.297
-32,75,60,2.974
-39,24,77,1.746
25,45,-90,1.2
13,-69,20,5
-78,15,95,1.204
-72,6,67,1.007
18,-75,-48,4.73
-51,32,89,1.671
38,-91,-21,2.607
12,-23,-58,3.357
37,-62,6,1.573
30,-92,-98,3.904
-1,93,-6,92.935
37,-71,-54,2.502
34,-64,-31,2.282
88,-21,-74,1.044
-48,92,66,2.473
49,-63,-2,1.317
65,-80,-65,1.79
-27,-52,85,1.056
36,-59,-73,2.462
-12,30,96,4.342
-7,-66,-68,-1.177
3,-23,-25,8.632
4,-66,-28,16.914
96,-71,-43,1.134
-81,89,27,1.346
-6,61,-47,9.327
6,95,94,-1.061
41,-62,-93,2.441
13,-39,16,2.51
-87,45,84,1.275
-17,-87,-87,-1.363
63,-19,-86,1.329
-56,19,60,1.219
-41,28,67,1.665
-67,40,35,1.08
-13,50,-17,3.469
-85,62,49,1.207
-74,69,38,1.321
-18,81,-21,4.224
14,-89,-18,6.553
47,-96,41,1.434
26,-74,-62,3.523
-90,46,61,1.118
32,1,-53,1.271
7,10,-42,1.837
53,-39,-60,1.494
-81,55,73,1.348
9,-93,-64,10.981
44,-3,-85,1.424
72,-36,-89,1.39
18,13,-37,1.117
10,35,-93,1.766
9,-29,14,2.631
40,6,-54,1.089
19,-82,51,3.562
6,64,-85,1.194
24,-63,-73,3.495
-13,57,-3,4.331
27,-82,-76,3.781
-15,16,41,2.271
-3,-34,57,1.483
53,-100,-98,2.598
-30,-19,95,1.491
44,14,-84,1.232
-8,91,-94,10.226
-19,6,14,1.031
-66,50,24,1.091
80,-84,-94,1.729
12,64,-85,1.101
20,-45,25,1.25
-47,-26,90,1.135
-6,89,55,15.428
25,-8,-55,1.652
13,-55,-83,5.411
20,-52,-19,2.925
94,-60,-63,1.198
-90,64,87,1.401
2,-79,-1,39.513
-51,24,66,1.397
37,-20,-82,1.783
17,-93,77,4.454
49,-69,-69,2.084
1,-71,14,70.802
2,-31,-94,18.097
-3,46,63,16.599
-10,39,96,5.611
21,62,-100,1.158
-36,61,56,2.355
-10,22,30,3.152
-10,13,35,2.631
-46,99,72,2.726
11,86,-99,1.018
-46,61,49,1.89
-6,55,91,10.598
-42,-33,94,1.154
32,-100,50,2.5
23,-21,-16,1.407
-4,28,-18,6.284
33,-60,-49,2.429
5,-96,33,18.85
-73,89,19,1.404
-24,80,96,4.27
-3,-89,93,1.011
3,-76,-68,26.199
-22,15,39,1.715
3,-49,46,15.333
28,-99,9,3.442
-84,13,73,1.013
-19,95,71,5.66
-15,-72,-62,-1.125
52,-33,-95,1.706
84,-53,-98,1.441
63,-82,-53,1.775
-2,-29,-94,-4.892
10,-81,72,7.084
-44,53,80,2.079
-40,16,73,1.566
-75,68,79,1.575
22,-7,-58,1.791
45,-82,-6,1.893
47,-16,-53,1.246
64,-30,-76,1.349
-82,47,57,1.168
-13,71,-20,5.164
64,20,-91,1.046
-26,79,-26,2.663
-98,71,34,1.054
-1,-3,13,2.405
-72,78,47,1.514
4,45,-50,1.019
-15,5,29,1.567
78,-60,-87,1.509
33,9,-75,1.377
9,-73,-76,9.045
-67,20,90,1.318
44,-26,-68,1.573
-32,89,81,3.504
36,-59,20,1.16
-66,67,5,1.085
14,-65,50,3.67
-51,55,91,1.98
-60,83,85,2.068
9,-95,-65,11.2
-5,51,47,11.051
10,18,-100,2.388
-15,40,12,2.939
19,-24,-39,2.197
-4,83,7,20.834
63,-50,-98,1.706
5,-44,12,8.518
-14,-21,76,1.698
-30,73,76,3.22
6,-42,-58,8.182
-40,70,-14,1.52
-78,93,24,1.41
9,-56,59,4.878
29,-94,-85,3.978
95,-32,-93,1.172
-73,91,-6,1.177
21,-41,-13,2.23
63,-66,-79,1.76
-39,3,95,1.6
-32,87,-51,1.864
-55,63,83,1.928
50,31,-88,1.052
-40,67,68,2.387
-81,72,74,1.499
52,-23,-56,1.282
-8,-7,42,1.895
-78,87,55,1.566
28,28,-94,1.399
30,-36,-54,2.07
51,-62,-1,1.232
-5,15,57,5.195
-52,3,71,1.198
-16,1,25,1.282
-61,-15,79,1.022
-90,71,38,1.155
-5,-83,99,1.118
-17,51,6,3.113
1,-1,-28,5.815
30,-34,-87,2.361
-13,16,19,1.972
-4,69,-51,16.476
4,21,-48,1.721
-5,77,71,16.273
-22,67,89,4.045
-47,72,38,1.947
-4,53,25,13.706
-51,9,83,1.367
28,-48,-80,2.752
28,-16,-14,1.048
44,-17,-85,1.596
-10,95,-62,8.795
-35,50,44,2.044
-2,10,93,9.763
-63,81,-15,1.061
-4,-39,68,1.51
13,26,-78,1.646
24,-88,-83,4.445
-30,78,22,2.857
-50,76,89,2.295
-14,-57,79,1.093
2,-100,29,49.708
-54,72,71,1.993
-59,61,36,1.454
-59,37,25,1.036
55,-75,-98,2.181
-94,36,77,1.117
11,-61,9,5.394
-8,74,-52,8.484
12,54,-83,1.211
19,-79,39,3.585
100,-21,-97,1.095
8,25,-42,1.211
-68,-17,89,1.026
62,-72,-44,1.604
64,-98,-38,1.852
-13,43,51,4.234
22,-9,-78,2.099
-24,42,-13,1.348
26,-24,-86,2.338
-9,33,34,4.505
-35,79,79,3.008
85,-74,-71,1.448
52,-16,-62,1.257
8,4,-31,1.734
18,-59,30,2.648
7,-5,-76,3.671
-7,51,-60,5.811
9,59,56,-1.151
-48,38,12,1.034
50,-11,-79,1.372
61,-65,-96,1.896
74,-93,-46,1.637
76,-59,-77,1.467
-3,31,-78,6
85,-11,-86,1.073
28,-92,63,2.313
74,-76,-28,1.315
46,-36,-90,1.844
-95,85,16,1.054
10,-33,-54,4.5
-9,68,31,7.987
-49,45,34,1.41
-73,92,29,1.521
84,-57,-71,1.319
-71,80,13,1.271
-31,61,75,2.824
28,-46,-23,2.045
16,-17,-72,2.718
4,-78,-47,20.085
49,-72,-92,2.289
-5,-11,79,3.024
-77,77,99,1.739
90,-43,-81,1.217
-31,94,15,3.184
17,-91,-53,5.883
39,-37,-83,2.008
1,-67,6,66.91
35,-28,-94,2.087
45,-47,-56,1.754
14,-74,21,4.985
-35,93,-57,1.698
-24,72,-49,1.956
-42,79,4,1.93
73,-40,-37,1.037
21,-8,-19,1.161
40,-62,-49,2.126
98,-100,-73,1.513
48,-76,-58,2.146
-77,90,47,1.56
60,7,-99,1.228
-13,-44,95,1.497
45,-61,-36,1.8
-82,40,99,1.369
58,13,-94,1.166
-22,64,2,2.94
51,-99,-83,2.574
39,-91,-35,2.67
-3,34,-76,8.27
11,-57,-54,6
32,-96,-89,3.743
6,-26,-64,6.086
-45,84,-24,1.515
-59,47,20,1.104
-22,28,78,2.624
-17,34,12,2.306
20,-47,-21,2.734
80,-77,-30,1.26
-36,63,55,2.389
-29,60,-27,1.407
-30,-2,88,1.68
-5,62,-9,12.253
86,-83,-34,1.275
8,-11,-24,2.551
-13,33,10,2.812
61,-92,-100,2.24
4,-12,-28,4.541
5,-1,-23,2.247
-8,71,-95,7.233
83,-85,-5,1.08
-21,65,93,4.16
-25,63,65,3.306
-35,88,-54,1.451
-64,45,96,1.626
46,-10,-45,1.104
37,-79,25,1.749
4,-85,-36,21.665
-33,91,8,2.843
85,-94,-61,1.565
-12,85,-96,5.673
41,-5,-75,1.415
-66,97,11,1.575
-40,97,65,2.972
45,-82,-9,1.926
-67,22,86,1.309
-11,87,63,8.577
-66,18,74,1.204
-32,57,-13,1.513
-40,88,39,2.578
85,-73,-50,1.308
-7,-45,-50,-1.429
17,-84,-53,5.507
61,-60,-32,1.367
26,-31,-2,1.254
-69,88,63,1.786
74,-96,-42,1.643
37,-52,11,1.146
-8,-32,74,1.64
-36,15,91,1.812
-32,39,76,2.267
-16,68,-58,3.069
33,-94,-27,3.111
11,-64,-44,6.439
-56,60,73,1.797
-25,85,-28,3.03
88,-34,-54,1
16,75,-92,1.009
-18,21,61,2.514
47,-83,-85,2.492
95,-92,-78,1.512
42,-51,5,1.107
-6,-43,77,1.484
87,-89,-18,1.196
-6,70,-5,11.595
-59,60,49,1.552
66,-49,-47,1.293
-69,66,81,1.663
38,-67,-28,2.112
-67,34,59,1.226
-17,16,47,2.199
-79,21,87,1.191
4,-64,20,15.681
26,-83,-6,3.263
40,-36,-28,1.4
93,-75,-98,1.506
-8,50,92,7.736
-64,54,28,1.206
-47,17,94,1.607
-42,81,-1,1.916
-23,-14,65,1.404
88,-63,-99,1.477
25,-80,-25,3.487
-70,37,93,1.447
-8,30,59,5.175
8,-35,-75,5.95
-14,-21,64,1.516
-78,74,49,1.398
-18,-30,84,1.482
16,-67,-73,5.085
-12,87,-8,7.157
2,72,100,-1.447
-51,61,50,1.755
-16,49,53,3.91
92,-86,-47,1.321
89,-90,-4,1.054
-73,57,50,1.305
-37,49,71,2.198
37,-83,-100,3.112
-12,96,60,8.583
-7,1,50,2.745
-21,85,-13,3.888
-11,53,61,5.778
-42,43,98,2.123
-61,45,45,1.304
95,-98,-62,1.474
-8,-69,-82,-1.423
-17,56,-26,2.735
12,-81,68,5.767
2,-58,-6,29.103
47,-45,-35,1.466
10,7,-49,1.891
87,-95,-96,1.73
-99,20,81,1.011
-57,93,26,1.875
-86,12,81,1.043
56,-99,-44,2.136
36,-94,19,2.39
12,55,48,-1.173
29,-2,-62,1.497
11,-62,-17,5.898
88,3,-98,1.038
42,-64,-42,2.019
21,-17,-68,2.249
-63,65,40,1.465
-26,-14,46,1.088
33,-23,-68,1.826
3,-43,-49,15.394
57,23,-86,1.043
100,-69,-39,1.058
-40,92,-13,2.149
7,-88,-63,13.251
56,-14,-53,1.106
-6,22,55,5.373
33,-49,-8,1.633
93,-24,-86,1.099
7,39,-98,1.879
24,-83,-91,4.333
14,-76,-65,6.18
84,-69,-17,1.02
20,-1,-29,1.229
-68,4,99,1.236
-24,62,58,3.313
21,-14,-49,1.897
-31,12,83,1.841
-19,-21,99,1.796
16,-44,-72,3.903
75,-64,-34,1.224
1,23,24,-1.096
-6,78,88,14.044
-76,47,71,1.324
66,-77,-10,1.285
42,31,-75,1.017
23,-21,-10,1.259
-69,51,34,1.163
89,-20,-80,1.067
74,-6,-77,1.061
22,-83,-21,4.011
-54,96,72,2.346
-84,74,85,1.539
62,-94,3,1.484
-13,-21,72,1.68
-37,60,-19,1.19
-6,-65,-63,-1.076
-83,81,35,1.3
49,-49,-70,1.796
36,-98,-92,3.461
93,-28,-88,1.135
-80,69,80,1.52
-20,98,74,5.565
94,-81,-40,1.213
17,-6,-26,1.426
32,-57,-57,2.495
-71,69,99,1.763
91,-54,-52,1.109
3,-70,16,23.102
44,45,-98,1.066
-1,47,-60,45.687
-98,80,97,1.484
3,-89,-36,30.066
-3,58,20,19.672
14,-56,-22,4.36
-75,39,59,1.184
30,-30,-8,1.219
37,35,-89,1.148
61,-78,-20,1.498
52,-83,-94,2.362
33,-19,-68,1.752
64,-21,-72,1.237
-13,41,-32,1.736
51,-72,8,1.29
-25,-51,86,1.097
-21,40,96,3.293
26,-97,-91,4.507
74,-50,-34,1.095
-69,78,9,1.236
-22,78,41,4.01
-10,24,-14,1.4
79,-63,-94,1.56
7,-1,-29,2.108
33,-77,40,1.553
41,11,-74,1.216
5,-11,-30,3.785
8,-71,-100,10.111
-9,59,70,7.581
-17,91,-37,4.91
-60,56,39,1.398
28,-96,25,3.145
-46,98,89,2.817
18,-81,-100,5.509
-22,36,71,2.792
2,-32,27,15.106
-2,97,44,48.949
-8,58,64,8.223
22,-4,-58,1.717
28,-30,-71,2.216
-26,30,23,1.68
10,-48,36,3.87
-43,-20,77,1.126
-42,79,1,1.894
-12,75,-14,6.057
-8,98,26,12.51
79,-61,-29,1.105
16,-91,80,4.601
-44,85,45,2.364
-10,94,7,9.474
-4,6,25,3.36
-55,92,75,2.273
38,-63,-16,1.882
-14,-52,-47,-1.554
58,-59,-79,1.782
15,-65,-4,4.394
-53,5,70,1.197
-19,8,63,2.044
31,-98,-34,3.477
-7,21,37,4.245
8,-75,92,7.924
3,-77,18,25.431
19,82,65,-1.046
56,-58,-32,1.434
-7,85,-72,11.227
19,-71,-80,4.644
-97,62,100,1.384
39,-69,-95,2.679
-77,30,79,1.226
44,-86,-33,2.283
4,-81,57,19.52
-17,66,-53,2.748
-80,-3,90,1.042
-13,-51,91,1.332
-4,40,-48,8.606
50,-40,-80,1.727
30,-95,10,3.058
21,-42,-51,2.852
-99,76,50,1.192
-20,56,-23,2.3
-63,95,94,2.189
-66,3,95,1.223
77,-93,-12,1.325
56,-4,-57,1.045
-4,-80,-76,-1
-37,98,-33,2.253
-16,60,-3,3.699
56,2,-88,1.236
44,-57,-70,2.066
-34,67,41,2.461
80,-63,-19,1.02
-43,16,59,1.372
17,4,-73,1.958
-83,69,92,1.548
-6,46,-33,6.866
39,29,-83,1.134
-26,23,27,1.553
7,-94,-36,13.801
26,-100,29,3.53
30,3,-66,1.434
13,-95,55,6.674
-23,53,12,2.512
-99,81,44,1.191
1,-78,39,77.497
-13,93,-5,7.1
46,-85,10,1.722
-11,68,-1,6.167
-3,92,2,30.688
-83,50,47,1.112
33,-42,-83,2.345
-4,-35,98,2.231
7,35,-52,1.198
18,-69,-30,4.228
-80,87,1,1.099
-7,-61,-81,-1.634
-93,74,27,1.068
51,-78,-85,2.265
-100,89,91,1.498
13,-95,-31,7.621
11,-79,-51,7.778
9,-73,70,7
-13,39,-5,2.866
86,-56,-84,1.366
-55,42,14,1.015
59,-16,-74,1.264
-3,-40,60,1.361
16,-84,22,4.974
-75,100,86,1.928
-1,27,-11,26.586
-37,14,39,1.233
-16,71,-42,3.735
24,-86,60,2.634
-10,36,35,4.396
33,50,-91,1.068
-43,71,-27,1.057
-24,-42,73,1.076
-38,84,-7,2.124
28,-17,-29,1.366
-21,74,-28,3.093
72,-62,-16,1.069
6,-68,99,9.618
-22,17,87,2.412
23,-99,-69,4.915
-87,91,69,1.556
2,-81,-91,41.594
60,-86,-74,2.038
-83,88,14,1.201
-86,100,-13,1.014
-54,1,66,1.115
67,-56,-29,1.197
-83,64,32,1.116
-49,79,-8,1.504
18,78,62,-1.049
-48,63,34,1.723
-65,51,33,1.206
-87,75,77,1.466
-60,61,92,1.847
-87,83,76,1.526
86,-49,-86,1.325
69,-53,-45,1.278
91,-65,-98,1.455
48,-90,42,1
-36,88,66,3.046
45,-30,-18,1.048
-9,-12,48,1.737
-62,9,90,1.28
-24,-17,98,1.697
10,-23,-57,3.8
-57,58,1,1.035
27,-62,-89,3.296
-23,17,17,1.305
71,-78,-87,1.785
-16,-74,93,1.028
-27,57,44,2.712
65,-83,-40,1.65
-9,-63,100,1.333
26,-94,-4,3.657
23,-88,-1,3.837
94,-82,-39,1.214
49,-22,-97,1.649
75,-46,-46,1.148
-6,-64,100,1.383
-6,52,-4,8.589
28,-8,-51,1.5
-18,-48,73,1.082
-3,-34,84,2.086
-5,-19,86,2.662
-39,43,18,1.426
-32,67,-4,2.032
10,-22,-22,2.947
2,3,-93,6.11
26,-42,-21,2.016
2,65,75,-1.198
23,-83,3,3.572
34,-94,28,2.425
-98,40,88,1.173
-30,37,83,2.391
-10,-17,99,2.409
-5,28,-16,4.954
71,-69,-62,1.539
10,60,78,-1.905
-90,86,11,1.07
42,-55,-98,2.317
16,25,-89,1.703
51,-25,-63,1.383
-2,15,88,11.37
96,-80,-27,1.091
20,-84,43,3.603
100,-77,-91,1.414
-66,35,62,1.27
20,-94,96,3.2
-21,53,66,3.438
11,-30,-9,3
28,-63,8,2.115
4,37,-67,1.551
-10,-62,-74,-1.613
16,-80,56,4.158
-7,54,44,8.457
-2,46,76,24.548
-79,55,27,1.029
61,-11,-86,1.281
-49,-15,65,1.009
99,-96,-61,1.407
97,-44,-85,1.19
-9,85,22,9.697
15,69,75,-1.761
39,-2,-89,1.537
-65,63,15,1.167
4,-13,-77,6.304
8,-36,-21,5.023
-55,70,-12,1.069
65,-90,-39,1.731
66,-99,-82,2.093
-9,87,70,10.414
-78,3,89,1.088
-7,93,18,13.477
12,-97,67,7.321
31,-4,-81,1.682
-61,75,49,1.702
47,10,-71,1.127
-53,-13,94,1.215
-46,54,56,1.837
88,-43,-88,1.274
-72,85,63,1.696
-68,35,72,1.318
-91,83,11,1.03
-27,87,-3,3.187
34,-86,15,2.341
85,-97,-19,1.312
24,-66,-17,2.987
24,-51,-60,2.967
7,-67,-66,10.472
62,30,-92,1
-38,-25,95,1.286
90,-74,-82,1.45
-72,23,77,1.206
-3,33,29,11.818
74,-98,-33,1.603
20,-58,33,2.123
35,-13,-48,1.371
51,-52,-87,1.912
21,17,-87,1.67
76,-36,-66,1.198
-73,83,3,1.172
-37,47,3,1.331
39,-55,-30,1.83
-2,-1,66,5.5
-8,81,-75,9.094
-38,79,-38,1.323
-67,60,95,1.72
14,-73,-88,6.224
-10,40,41,4.846
-21,100,-76,3.813
-28,-12,100,1.688
-15,91,-54,5.4
-82,96,54,1.586
81,-95,-46,1.541
-29,24,62,1.933
-18,47,46,3.37
-6,-19,75,2.291
29,-86,-92,3.8
7,-98,-95,14.91
57,-84,-99,2.247
28,-89,-89,3.978
7,-40,-74,7.186
-54,47,62,1.592
49,-60,-95,2.133
39,16,-61,1.062
-48,-11,78,1.165
46,-50,-22,1.423
17,-64,-92,4.875
-3,-58,-97,-1.849
-37,3,49,1.192
17,-86,-84,5.897
1,-20,-38,21.747
-33,94,61,3.393
-31,41,31,1.86
-48,86,49,2.246
75,11,-98,1.072
-23,72,90,4.088
-56,36,24,1.051
-63,35,31,1.032
9,-45,-47,5.887
28,-49,-11,1.951
2,-70,93,33.617
39,15,-68,1.142
